Aloft Kuala Lumpur Sentral,0.80704,4.5,1
The RuMa Hotel and Residences,0.84243,5.0,2
Pavilion Hotel Kuala Lumpur Managed by Banyan Tree,0.89989,4.5,3
Banyan Tree Kuala Lumpur,0.92035,4.5,4
Mandarin Oriental Kuala Lumpur,0.74883,4.5,5
Four Seasons Hotel Kuala Lumpur,0.86509,4.5,6
W Kuala Lumpur,0.90902,4.5,7
Sunway Velocity Hotel,0.7542,4.5,8
Hilton Kuala Lumpur,0.77591,4.5,9
Sunway Putra Hotel,0.8963,4.0,10
The Majestic Hotel Kuala Lumpur,0.63087,4.5,11
VE Hotel Residence,0.7394,4.0,12
Royale Chulan Kuala Lumpur,0.51674,4.5,13
PARKROYAL Serviced Suites Kuala Lumpur,0.66567,4.5,14
Oasia Suites Kuala Lumpur by Far East Hospitality,0.65548,4.0,15
Lanson Place Bukit Ceylon Serviced Residences,0.88619,5.0,16
Pullman Kuala Lumpur City Centre Hotel Residences,0.76446,4.5,17
Traders Hotel Kuala Lumpur,0.80309,4.5,18
Komune Living,0.50637,3.5,19
Metro Hotel,0.56805,3.5,20
